Brasil, Grandes Regiões e Unidades da Federação: Projeções da população com data de referência no dia 1º de cada mês: 2010/2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATA;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espírito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal
junho, 2014;201.609.404;17.194.157;55.477.490;84.916.139;28.817.282;15.204.337;1.676.349;817.019;3.814.057;501.686;8.140.420;761.122;1.483.504;6.872.136;3.228.136;8.844.294;3.360.588;3.911.056;9.246.552;3.261.198;2.193.081;14.560.449;20.498.489;3.780.856;16.721.596;43.915.198;10.993.001;6.705.023;11.119.257;2.619.180;3.267.606;6.514.497;2.803.053
julho, 2014;201.752.424;17.214.488;55.504.182;84.974.610;28.836.604;15.222.538;1.678.020;818.105;3.819.586;503.000;8.148.251;762.535;1.484.991;6.875.504;3.228.883;8.849.049;3.363.090;3.912.702;9.251.773;3.262.520;2.194.862;14.565.801;20.509.897;3.784.809;16.730.671;43.949.233;11.000.333;6.712.609;11.123.662;2.621.840;3.271.143;6.523.010;2.806.544
agosto, 2014;201.895.386;17.234.822;55.530.870;85.033.038;28.855.922;15.240.733;1.679.691;819.191;3.825.112;504.327;8.156.075;763.947;1.486.479;6.878.872;3.229.629;8.853.806;3.365.589;3.914.353;9.256.992;3.263.840;2.196.641;14.571.148;20.521.296;3.788.762;16.739.744;43.983.237;11.007.664;6.720.194;11.128.063;2.624.500;3.274.682;6.531.518;2.810.034
setembro, 2014;202.038.288;17.255.158;55.557.552;85.091.421;28.875.235;15.258.922;1.681.362;820.277;3.830.635;505.669;8.163.893;765.358;1.487.965;6.882.240;3.230.375;8.858.564;3.368.085;3.916.009;9.262.210;3.265.157;2.198.420;14.576.491;20.532.686;3.792.713;16.748.815;44.017.207;11.014.994;6.727.780;11.132.460;2.627.158;3.278.222;6.540.019;2.813.522
outubro, 2014;202.181.128;17.275.496;55.584.228;85.149.759;28.894.541;15.277.103;1.683.032;821.361;3.836.155;507.023;8.171.703;766.769;1.489.452;6.885.608;3.231.121;8.863.324;3.370.579;3.917.669;9.267.426;3.266.473;2.200.198;14.581.830;20.544.067;3.796.664;16.757.883;44.051.145;11.022.323;6.735.366;11.136.852;2.629.816;3.281.763;6.548.515;2.817.010
novembro, 2014;202.323.901;17.295.835;55.610.897;85.208.049;28.913.842;15.295.278;1.684.702;822.446;3.841.671;508.392;8.179.507;768.178;1.490.938;6.888.977;3.231.868;8.868.085;3.373.070;3.919.334;9.272.640;3.267.786;2.201.974;14.587.163;20.555.439;3.800.613;16.766.949;44.085.049;11.029.650;6.742.952;11.141.240;2.632.473;3.285.305;6.557.004;2.820.496
dezembro, 2014;202.466.607;17.316.174;55.637.559;85.266.292;28.933.136;15.313.446;1.686.373;823.529;3.847.184;509.773;8.187.304;769.587;1.492.424;6.892.345;3.232.614;8.872.847;3.375.558;3.921.004;9.277.852;3.269.098;2.203.750;14.592.492;20.566.800;3.804.562;16.776.012;44.118.918;11.036.975;6.750.538;11.145.623;2.635.129;3.288.849;6.565.488;2.823.981
janeiro, 2015;202.609.241;17.336.514;55.664.213;85.324.485;28.952.423;15.331.606;1.688.043;824.613;3.852.694;511.167;8.195.094;770.994;1.493.910;6.895.713;3.233.361;8.877.610;3.378.043;3.922.678;9.283.062;3.270.407;2.205.524;14.597.815;20.578.151;3.808.509;16.785.072;44.152.753;11.044.298;6.758.123;11.150.002;2.637.784;3.292.393;6.573.965;2.827.464
fevereiro, 2015;202.751.801;17.356.855;55.690.858;85.382.628;28.971.702;15.349.759;1.689.712;825.695;3.858.201;512.573;8.202.876;772.401;1.495.396;6.899.081;3.234.107;8.882.374;3.380.525;3.924.357;9.288.269;3.271.714;2.207.297;14.603.133;20.589.492;3.812.455;16.794.128;44.186.553;11.051.619;6.765.708;11.154.375;2.640.437;3.295.939;6.582.436;2.830.947
março, 2015;202.894.285;17.377.195;55.717.493;85.440.719;28.990.974;15.367.903;1.691.382;826.777;3.863.704;513.992;8.210.652;773.807;1.496.880;6.902.449;3.234.853;8.887.138;3.383.005;3.926.039;9.293.475;3.273.019;2.209.069;14.608.445;20.600.822;3.816.400;16.803.181;44.220.316;11.058.938;6.773.292;11.158.744;2.643.090;3.299.485;6.590.900;2.834.428
abril, 2015;203.036.688;17.397.534;55.744.118;85.498.759;29.010.237;15.386.040;1.693.051;827.859;3.869.204;515.423;8.218.421;775.212;1.498.365;6.905.816;3.235.599;8.891.903;3.385.481;3.927.726;9.298.678;3.274.322;2.210.840;14.613.752;20.612.141;3.820.344;16.812.229;44.254.044;11.066.254;6.780.876;11.163.107;2.645.742;3.303.033;6.599.358;2.837.907
maio, 2015;203.179.009;17.417.873;55.770.733;85.556.744;29.029.491;15.404.168;1.694.720;828.939;3.874.700;516.866;8.226.182;776.616;1.499.849;6.909.184;3.236.345;8.896.669;3.387.955;3.929.416;9.303.878;3.275.623;2.212.610;14.619.053;20.623.449;3.824.286;16.821.274;44.287.735;11.073.568;6.788.458;11.167.465;2.648.392;3.306.581;6.607.810;2.841.385
junho, 2015;203.321.245;17.438.211;55.797.336;85.614.675;29.048.736;15.422.287;1.696.389;830.020;3.880.193;518.321;8.233.936;778.019;1.501.333;6.912.550;3.237.090;8.901.435;3.390.426;3.931.111;9.309.075;3.276.922;2.214.379;14.624.348;20.634.745;3.828.227;16.830.314;44.321.389;11.080.879;6.796.039;11.171.817;2.651.041;3.310.130;6.616.254;2.844.862
julho, 2015;203.463.392;17.458.546;55.823.927;85.672.551;29.067.971;15.440.397;1.698.057;831.099;3.885.683;519.787;8.241.682;779.421;1.502.816;6.915.917;3.237.835;8.906.200;3.392.893;3.932.809;9.314.270;3.278.218;2.216.146;14.629.637;20.646.030;3.832.167;16.839.349;44.355.005;11.088.188;6.803.620;11.176.164;2.653.689;3.313.679;6.624.692;2.848.336
agosto, 2015;203.605.449;17.478.880;55.850.505;85.730.369;29.087.196;15.458.498;1.699.724;832.178;3.891.169;521.265;8.249.422;780.823;1.504.299;6.919.282;3.238.580;8.910.966;3.395.358;3.934.511;9.319.463;3.279.512;2.217.912;14.634.920;20.657.303;3.836.104;16.848.379;44.388.583;11.095.493;6.811.198;11.180.505;2.656.336;3.317.230;6.633.123;2.851.810
setembro, 2015;203.747.412;17.499.211;55.877.070;85.788.130;29.106.411;15.476.590;1.701.392;833.257;3.896.652;522.753;8.257.154;782.223;1.505.781;6.922.647;3.239.325;8.915.732;3.397.819;3.936.217;9.324.652;3.280.805;2.219.677;14.640.196;20.668.563;3.840.041;16.857.404;44.422.123;11.102.795;6.818.776;11.184.841;2.658.981;3.320.780;6.641.547;2.855.281
